epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.09091,3.02244,6.36417,2.62447,0.00088,0.01753,0.00028,9e-05,3.58105,5.96387,2.71155,3.75e-05,3.75e-05,3.75e-05
2,2.09876,2.90108,6.77703,2.58729,0.00041,0.03742,0.00023,9e-05,3.52397,7.15456,2.69114,8.66338e-05,8.66338e-05,8.66338e-05
3,3.6638,2.88845,5.34647,2.48283,0.46316,0.00581,0.00815,0.00163,3.48428,12.9435,2.71538,0.000134777,0.000134777,0.000134777
4,5.06672,2.58655,4.2366,2.06819,0.29284,0.0193,0.01048,0.00282,3.26894,8.67446,2.55797,0.000181931,0.000181931,0.000181931
5,6.11876,2.23387,3.0155,1.79911,0.27791,0.02326,0.00723,0.00242,3.31091,11.2226,2.60866,0.000228095,0.000228095,0.000228095
6,7.09792,2.12875,3.03986,1.81953,0.08465,0.05557,0.01569,0.00523,3.21949,7.57727,2.6427,0.000273269,0.000273269,0.000273269
7,8.04279,1.98319,2.66353,1.68915,0.03437,0.07866,0.02702,0.0126,3.17169,4.96226,2.56397,0.000317452,0.000317452,0.000317452
8,8.96697,1.77676,2.46511,1.62199,0.03327,0.07953,0.01295,0.00508,3.12429,4.87434,2.53173,0.000360646,0.000360646,0.000360646
9,9.835,1.74091,2.37904,1.59297,0.05734,0.05714,0.02722,0.01172,3.19728,4.68956,2.59978,0.00040285,0.00040285,0.00040285
10,10.6947,1.74736,2.112,1.59365,0.07444,0.09023,0.04304,0.01813,3.36244,4.37676,2.65189,0.000444064,0.000444064,0.000444064
11,11.5974,1.80434,2.16479,1.59759,0.04142,0.0822,0.02727,0.01026,3.28264,4.42292,2.70321,0.000484288,0.000484288,0.000484288
12,12.4487,1.72046,2.01287,1.61701,0.09125,0.15201,0.04472,0.01135,3.30756,4.4278,2.87635,0.000523521,0.000523521,0.000523521
13,13.2736,1.69125,1.86337,1.53976,0.0855,0.09441,0.03489,0.00948,3.40524,4.41633,2.98738,0.000561765,0.000561765,0.000561765
14,14.0714,1.6861,1.80388,1.4877,0.08872,0.1051,0.06148,0.01686,3.35083,4.49661,2.96362,0.000599019,0.000599019,0.000599019
15,14.8951,1.70605,1.72333,1.50482,0.07155,0.15499,0.06659,0.02432,3.30342,4.87978,2.93492,0.000635282,0.000635282,0.000635282
16,15.7237,1.59149,1.38842,1.41855,0.05584,0.13052,0.04211,0.01482,3.33248,5.00987,2.91546,0.000670556,0.000670556,0.000670556
17,16.5137,1.65269,1.47011,1.3967,0.54844,0.02907,0.02667,0.01042,3.32612,4.85477,2.88686,0.00070484,0.00070484,0.00070484
18,17.3157,1.73359,1.58886,1.53635,0.78766,0.03488,0.02191,0.00692,3.39358,6.07072,3.08763,0.000738134,0.000738134,0.000738134
19,18.1192,1.5961,1.48886,1.46131,0.03306,0.12706,0.02318,0.00827,3.50049,5.82424,3.46775,0.000770438,0.000770438,0.000770438
20,18.9122,1.66675,1.64561,1.51391,0.32365,0.07213,0.0371,0.01413,3.47593,6.75197,3.4371,0.000801751,0.000801751,0.000801751
21,19.7085,1.54329,1.40872,1.44082,0.13348,0.06286,0.07136,0.03042,3.08924,5.26327,2.66642,0.000832075,0.000832075,0.000832075
22,20.5319,1.60057,1.45481,1.45476,0.06945,0.14045,0.04167,0.01236,3.17529,5.35056,2.76135,0.000861409,0.000861409,0.000861409
23,21.3346,1.57994,1.47721,1.45465,0.10503,0.12897,0.05183,0.01641,3.17369,4.79489,2.76065,0.000889753,0.000889753,0.000889753
24,22.1685,1.57935,1.34638,1.40057,0.10833,0.1876,0.05129,0.01636,3.17668,6.10814,2.85304,0.000917106,0.000917106,0.000917106
25,23.0339,1.46015,1.20905,1.36337,0.18466,0.17698,0.08991,0.03042,3.14779,7.37616,2.80673,0.00094347,0.00094347,0.00094347
26,23.8926,1.58743,1.35193,1.4115,0.19216,0.1509,0.08375,0.02539,3.08649,6.97911,2.77964,0.000940625,0.000940625,0.000940625
27,24.7029,1.40542,1.18948,1.32163,0.16131,0.10618,0.06685,0.01718,3.15544,5.36029,2.83522,0.00092825,0.00092825,0.00092825
