epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.54723,2.30454,3.62791,2.08109,0.20537,0.36706,0.16262,0.05277,2.59782,12.6284,2.38428,0.000409605,0.000409605,0.000409605
2,13.1256,2.0801,2.49541,1.93001,0.20608,0.32132,0.20457,0.07383,2.55363,inf,2.41856,0.000818091,0.000818091,0.000818091
3,19.7424,2.0614,2.43963,1.93594,0.13737,0.34424,0.11317,0.03394,2.83633,10.5395,2.64713,0.00121833,0.00121833,0.00121833
4,26.2452,2.0487,2.33267,1.94253,0.2693,0.29657,0.16868,0.04674,2.5655,8.93864,2.7345,0.00121287,0.00121287,0.00121287
5,32.7181,2.01643,2.23986,1.91868,0.2403,0.4602,0.26128,0.1042,2.39068,4.66981,2.1931,0.0012005,0.0012005,0.0012005
6,39.2221,1.96511,2.08731,1.88825,0.37385,0.47748,0.38318,0.13044,2.35368,3.26364,2.14697,0.00118812,0.00118812,0.00118812
7,45.7346,1.9517,2.07293,1.83829,0.42278,0.42395,0.38451,0.14113,2.23525,2.48213,1.99068,0.00117575,0.00117575,0.00117575
8,52.2517,1.91919,1.95007,1.81185,0.36934,0.47824,0.31395,0.11122,2.2633,2.05879,1.96923,0.00116337,0.00116337,0.00116337
9,58.705,1.8987,1.98128,1.78668,0.39165,0.50359,0.41722,0.15137,2.25917,2.0208,1.96682,0.001151,0.001151,0.001151
10,65.22,1.86634,1.87849,1.78064,0.41641,0.58739,0.45224,0.16996,2.15391,1.96841,1.90298,0.00113863,0.00113863,0.00113863
11,71.7431,1.84171,1.83436,1.7487,0.55806,0.53759,0.54073,0.21141,2.10284,1.77347,1.87358,0.00112625,0.00112625,0.00112625
12,78.2556,1.80121,1.70553,1.72563,0.52759,0.60902,0.569,0.21864,2.13546,1.6753,1.86778,0.00111388,0.00111388,0.00111388
13,84.7705,1.79173,1.69428,1.70191,0.48033,0.60515,0.55042,0.18928,2.24692,1.87666,1.96416,0.0011015,0.0011015,0.0011015
14,91.2368,1.80313,1.68512,1.73912,0.57211,0.64108,0.62848,0.27665,2.05022,1.62064,1.75501,0.00108913,0.00108913,0.00108913
15,97.7644,1.75907,1.64471,1.69061,0.65623,0.63974,0.65139,0.25157,2.09455,1.69578,1.81431,0.00107675,0.00107675,0.00107675
16,104.186,1.73948,1.64908,1.68906,0.52679,0.61158,0.59338,0.23213,2.06852,1.69413,1.80765,0.00106437,0.00106437,0.00106437
17,110.628,1.71337,1.57371,1.65443,0.71155,0.60416,0.64711,0.25271,2.06273,1.58509,1.81263,0.001052,0.001052,0.001052
18,117.08,1.71037,1.569,1.67118,0.64476,0.62576,0.64404,0.27276,1.99877,1.61496,1.76419,0.00103962,0.00103962,0.00103962
19,123.503,1.73521,1.55566,1.67242,0.70216,0.64477,0.6864,0.29488,2.02213,1.37685,1.77206,0.00102725,0.00102725,0.00102725
20,130.021,1.71553,1.53237,1.65637,0.74698,0.6344,0.68979,0.27125,1.99185,1.57231,1.76545,0.00101488,0.00101488,0.00101488
21,136.479,1.68594,1.50077,1.61308,0.58739,0.7168,0.67683,0.28083,2.02713,1.43686,1.77371,0.0010025,0.0010025,0.0010025
22,142.907,1.73877,1.4756,1.65433,0.6546,0.61168,0.65699,0.2862,1.99811,1.52199,1.74716,0.000990125,0.000990125,0.000990125
23,149.365,1.66953,1.4627,1.6257,0.74778,0.67818,0.70457,0.30454,1.98285,1.43051,1.74603,0.00097775,0.00097775,0.00097775
24,155.887,1.64407,1.43042,1.59993,0.69201,0.67204,0.71646,0.30197,2.04161,1.38102,1.79546,0.000965375,0.000965375,0.000965375
25,162.367,1.68257,1.4771,1.62255,0.71484,0.66467,0.72998,0.30918,1.94421,1.45808,1.71214,0.000953,0.000953,0.000953
26,168.88,1.67097,1.41018,1.62588,0.74247,0.64567,0.74306,0.32542,2.02216,1.32784,1.76551,0.000940625,0.000940625,0.000940625
