epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.63159,2.29766,3.67226,2.02125,0.13059,0.42781,0.2072,0.06454,2.33704,3.90762,1.9786,0.000409605,0.000409605,0.000409605
2,7.11348,1.98081,2.30636,1.74875,0.33122,0.42156,0.28975,0.09231,2.34655,4.39754,2.1676,0.000818091,0.000818091,0.000818091
3,10.5872,2.02774,2.22827,1.76643,0.26862,0.31407,0.25014,0.09023,2.38841,4.01251,2.13833,0.00121833,0.00121833,0.00121833
4,13.9872,1.98174,2.17763,1.80051,0.27821,0.46524,0.33661,0.11524,2.46571,2.94278,2.09209,0.00121287,0.00121287,0.00121287
5,17.4195,1.99944,2.08704,1.83225,0.30057,0.47726,0.30236,0.1001,2.44209,3.20714,2.12537,0.0012005,0.0012005,0.0012005
6,20.7987,1.92129,1.88491,1.74479,0.40712,0.47318,0.32305,0.10789,2.57616,2.11962,2.28191,0.00118812,0.00118812,0.00118812
7,24.1744,1.93475,1.83112,1.7476,0.47641,0.48191,0.46106,0.16664,2.19726,1.86256,1.90846,0.00117575,0.00117575,0.00117575
8,27.5744,1.8694,1.79516,1.69834,0.43587,0.624,0.49779,0.18371,2.25332,1.82788,1.88447,0.00116337,0.00116337,0.00116337
9,30.9643,1.84073,1.75308,1.64528,0.48202,0.47487,0.47861,0.19689,2.20337,1.84938,1.83401,0.001151,0.001151,0.001151
10,34.3548,1.81021,1.72738,1.64188,0.53976,0.52009,0.5273,0.20378,2.18272,1.80514,1.86975,0.00113863,0.00113863,0.00113863
11,37.7407,1.78603,1.64875,1.6239,0.56151,0.598,0.59549,0.24697,2.1672,1.63299,1.83054,0.00112625,0.00112625,0.00112625
12,41.1438,1.76942,1.58374,1.60935,0.63357,0.55453,0.6112,0.2361,2.10006,1.63984,1.7891,0.00111388,0.00111388,0.00111388
13,44.5125,1.77472,1.56339,1.60097,0.55137,0.56557,0.57282,0.2234,2.11,1.66856,1.76964,0.0011015,0.0011015,0.0011015
14,47.8595,1.78196,1.5668,1.62904,0.63566,0.61181,0.66042,0.2911,2.12622,1.5521,1.76448,0.00108913,0.00108913,0.00108913
15,51.2568,1.74491,1.55915,1.58533,0.70398,0.60391,0.70207,0.30026,2.06107,1.63677,1.74639,0.00107675,0.00107675,0.00107675
16,54.6647,1.7124,1.49914,1.57884,0.62944,0.6375,0.61462,0.26441,2.00699,1.52982,1.71177,0.00106437,0.00106437,0.00106437
17,58.0382,1.69631,1.4483,1.55819,0.71065,0.69243,0.70136,0.27273,2.14761,1.42511,1.80894,0.001052,0.001052,0.001052
18,61.4053,1.69486,1.45401,1.54527,0.63908,0.78629,0.74944,0.32243,2.0003,1.36985,1.64474,0.00103962,0.00103962,0.00103962
19,64.8099,1.66344,1.40825,1.52369,0.68444,0.69204,0.71434,0.32089,2.01172,1.50824,1.66826,0.00102725,0.00102725,0.00102725
20,68.1809,1.66961,1.3578,1.52898,0.71985,0.70419,0.71855,0.32807,1.97787,1.4314,1.67857,0.00101488,0.00101488,0.00101488
21,71.5725,1.66333,1.36206,1.51718,0.60546,0.5883,0.60446,0.26646,2.1309,1.55212,1.78829,0.0010025,0.0010025,0.0010025
22,74.9489,1.69805,1.37916,1.5531,0.70769,0.6447,0.67349,0.30777,2.00415,1.3923,1.71394,0.000990125,0.000990125,0.000990125
23,78.3412,1.62446,1.31268,1.51202,0.68715,0.67789,0.71651,0.31639,1.99199,1.41922,1.66991,0.00097775,0.00097775,0.00097775
24,81.7035,1.5909,1.31605,1.48435,0.79087,0.74609,0.77378,0.30929,2.06631,1.32311,1.74632,0.000965375,0.000965375,0.000965375
25,85.1089,1.67087,1.34629,1.51727,0.69029,0.70413,0.72746,0.32439,2.01091,1.42706,1.73149,0.000953,0.000953,0.000953
26,88.4827,1.62006,1.28963,1.50299,0.69997,0.62848,0.67933,0.29251,2.01532,1.46486,1.71696,0.000940625,0.000940625,0.000940625
27,91.8585,1.60737,1.29302,1.48731,0.67876,0.68442,0.72302,0.32943,1.95745,1.34403,1.68031,0.00092825,0.00092825,0.00092825
28,95.2684,1.57696,1.25062,1.4658,0.82824,0.70899,0.77439,0.34774,2.01948,1.30341,1.71053,0.000915875,0.000915875,0.000915875
