epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.52126,2.98966,5.38637,2.92868,0.00026,0.00134,0.00013,4e-05,3.71131,6.72172,3.23661,3.75e-05,3.75e-05,3.75e-05
2,3.38984,3.05077,5.68875,2.88505,0.0002,0.00134,0.0001,3e-05,3.64251,6.57656,3.13023,8.74976e-05,8.74976e-05,8.74976e-05
3,5.24653,3.08247,5.40248,2.93203,0.00086,0.00637,0.00044,9e-05,3.52463,5.96371,3.0063,0.000137485,0.000137485,0.000137485
4,7.48892,2.47086,3.52179,2.45818,0.00348,0.02956,0.00188,0.00069,3.63164,5.43632,3.09182,0.000187454,0.000187454,0.000187454
5,9.72148,2.31529,2.86016,2.27394,0.0178,0.07724,0.02599,0.01634,3.24688,4.87575,2.78058,0.000237397,0.000237397,0.000237397
6,11.964,2.10377,2.73108,2.11301,0.5301,0.01826,0.03635,0.01847,3.12113,4.3968,2.7219,0.000287305,0.000287305,0.000287305
7,14.1792,1.98413,2.34754,1.9878,0.20704,0.04292,0.0376,0.01022,3.3992,4.2662,3.02709,0.00033717,0.00033717,0.00033717
8,16.2383,2.02564,2.3566,1.99174,0.00796,0.04957,0.00865,0.00274,3.78863,5.00648,3.47792,0.000386985,0.000386985,0.000386985
9,18.3016,1.97663,2.38686,2.03856,0.00959,0.06227,0.01787,0.00368,3.77889,4.83446,3.66137,0.00043674,0.00043674,0.00043674
10,20.3563,2.06889,2.32197,2.03336,0.01807,0.05052,0.01599,0.00495,3.72175,5.22933,3.785,0.000486429,0.000486429,0.000486429
11,22.4093,1.95102,1.95048,1.94865,0.05645,0.07014,0.0504,0.0135,3.55066,5.15615,3.48017,0.000536042,0.000536042,0.000536042
12,24.4603,1.8943,2.03132,1.92139,0.13795,0.06423,0.09759,0.04386,3.2693,5.49119,3.03705,0.000585573,0.000585573,0.000585573
13,26.6579,1.83823,1.99553,1.92363,0.11946,0.0772,0.08763,0.02936,3.45481,5.86495,3.34019,0.000635012,0.000635012,0.000635012
14,28.6999,1.76464,1.83712,1.82482,0.07043,0.08301,0.06043,0.01759,3.4589,5.56329,3.46263,0.000684351,0.000684351,0.000684351
15,30.7564,1.80246,1.79346,1.89813,0.04408,0.10527,0.04496,0.01209,3.28353,5.32333,2.81827,0.000733584,0.000733584,0.000733584
16,32.8196,1.74031,1.74983,1.81391,0.02654,0.07894,0.02619,0.00768,3.40857,5.4411,2.94715,0.000782701,0.000782701,0.000782701
