epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4253,0.01502,3.04312,2.07757,0.31756,0.24013,0.22397,0.10558,0.01401,2.98303,2.02583,0.000467346,0.000467346,0.000467346
2,21.0351,0.01269,2.21763,1.67865,0.04251,0.09074,0.0439,0.01824,0.02157,4.56275,3.03119,0.000934337,0.000934337,0.000934337
3,31.603,0.0126,2.13037,1.65154,0.02328,0.10505,0.02929,0.01389,0.02303,4.48157,3.50182,0.0013919,0.0013919,0.0013919
4,42.0766,0.0126,2.07127,1.64059,0.28701,0.18871,0.13291,0.04982,0.01888,3.35811,2.57154,0.00138656,0.00138656,0.00138656
5,52.5616,0.01257,2.08493,1.64501,0.39245,0.44006,0.34708,0.1603,0.01432,2.37244,2.03503,0.00137241,0.00137241,0.00137241
6,63.1928,0.01212,2.00295,1.60777,0.19937,0.47011,0.2402,0.13921,0.01539,3.7538,2.20582,0.00135826,0.00135826,0.00135826
7,73.6772,0.01202,1.94619,1.58311,0.40226,0.29828,0.29982,0.15186,0.01657,3.2984,2.30908,0.00134412,0.00134412,0.00134412
8,84.1693,0.0118,1.92019,1.57678,0.39916,0.42494,0.32413,0.15758,0.01436,2.44297,2.0471,0.00132997,0.00132997,0.00132997
9,94.6904,0.012,1.93285,1.57906,0.39876,0.38705,0.32468,0.14345,0.01468,2.64155,2.01294,0.00131582,0.00131582,0.00131582
10,105.256,0.01161,1.85365,1.56052,0.44037,0.4731,0.38421,0.18811,0.01393,2.2594,1.99848,0.00130168,0.00130168,0.00130168
11,115.894,0.0114,1.75294,1.52193,0.43267,0.4168,0.38636,0.18422,0.01468,2.37704,2.07167,0.00128753,0.00128753,0.00128753
12,126.438,0.01158,1.76408,1.56141,0.65425,0.42633,0.44144,0.21411,0.01326,2.56576,1.89416,0.00127338,0.00127338,0.00127338
13,137.126,0.01158,1.75758,1.55328,0.49414,0.4783,0.451,0.24272,0.01339,2.36024,1.96535,0.00125923,0.00125923,0.00125923
14,147.789,0.01132,1.73505,1.54224,0.44611,0.54587,0.41262,0.2106,0.01325,2.07008,1.87607,0.00124509,0.00124509,0.00124509
15,158.302,0.01144,1.74718,1.54231,0.43834,0.45157,0.35557,0.17938,0.01298,2.20209,1.8799,0.00123094,0.00123094,0.00123094
16,168.855,0.01132,1.69585,1.52831,0.51201,0.47206,0.41057,0.2216,0.01284,2.45949,1.85711,0.00121679,0.00121679,0.00121679
17,179.424,0.01099,1.61514,1.5058,0.41469,0.50433,0.38969,0.19891,0.01319,2.21714,1.89959,0.00120265,0.00120265,0.00120265
18,189.961,0.01121,1.66801,1.5203,0.43609,0.47695,0.41771,0.22987,0.01299,2.1085,1.85225,0.0011885,0.0011885,0.0011885
19,200.456,0.0111,1.6332,1.50471,0.49268,0.45683,0.43741,0.23121,0.01344,2.41723,1.94342,0.00117435,0.00117435,0.00117435
20,210.966,0.01111,1.64413,1.51458,0.45955,0.52129,0.45554,0.25009,0.01281,1.95792,1.83851,0.00116021,0.00116021,0.00116021
21,221.619,0.01075,1.57239,1.46779,0.46022,0.54405,0.45162,0.22747,0.01303,2.11175,1.87873,0.00114606,0.00114606,0.00114606
22,232.137,0.0107,1.55595,1.45082,0.52724,0.52423,0.4804,0.25785,0.01309,2.06354,1.8832,0.00113191,0.00113191,0.00113191
23,242.764,0.01066,1.52998,1.46842,0.51852,0.55675,0.49324,0.25935,0.01263,1.88636,1.82477,0.00111776,0.00111776,0.00111776
24,253.43,0.01062,1.49077,1.46187,0.49606,0.57888,0.49207,0.26613,0.01174,1.90277,1.7594,0.00110362,0.00110362,0.00110362
25,264.087,0.01061,1.4781,1.44871,0.56261,0.54696,0.5091,0.26452,0.01241,1.96375,1.85656,0.00108947,0.00108947,0.00108947
26,274.761,0.01052,1.45579,1.45398,0.47865,0.47615,0.45243,0.25821,0.0124,2.14198,1.82345,0.00107532,0.00107532,0.00107532
27,285.311,0.01031,1.44157,1.41108,0.51122,0.55545,0.50019,0.27567,0.01174,1.87796,1.76972,0.00106118,0.00106118,0.00106118
28,296.023,0.01051,1.45992,1.43791,0.52859,0.49913,0.44601,0.24161,0.01304,2.41584,1.89862,0.00104703,0.00104703,0.00104703
29,306.514,0.01029,1.42341,1.42665,0.58867,0.56211,0.53897,0.2994,0.01183,1.7479,1.7519,0.00103288,0.00103288,0.00103288
30,317.19,0.01042,1.41256,1.43886,0.48553,0.55096,0.46766,0.24118,0.01217,1.85256,1.78873,0.00101873,0.00101873,0.00101873
31,327.693,0.01012,1.41018,1.41094,0.53643,0.59356,0.54512,0.2916,0.01215,1.76602,1.76257,0.00100459,0.00100459,0.00100459
32,338.181,0.01021,1.37601,1.40354,0.57335,0.56657,0.53983,0.29432,0.01245,1.91879,1.84081,0.00099044,0.00099044,0.00099044
33,348.733,0.01008,1.35362,1.40369,0.58377,0.55326,0.54331,0.29147,0.01152,1.83099,1.75059,0.000976293,0.000976293,0.000976293
34,359.372,0.00996,1.35861,1.39082,0.57102,0.52437,0.51985,0.28137,0.01216,1.85848,1.80382,0.000962146,0.000962146,0.000962146
35,369.899,0.01002,1.33997,1.42279,0.60398,0.55497,0.56379,0.30981,0.01206,1.82813,1.78137,0.000947999,0.000947999,0.000947999
36,382.764,0.00987,1.3294,1.39494,0.58737,0.58945,0.56797,0.31423,0.01159,1.73837,1.75784,0.000933851,0.000933851,0.000933851
37,396.168,0.00964,1.22226,1.35666,0.61132,0.57313,0.58486,0.32699,0.01167,1.69265,1.77648,0.000919704,0.000919704,0.000919704
38,409.158,0.00965,1.25543,1.37844,0.56815,0.56983,0.5449,0.30088,0.01186,1.77869,1.76028,0.000905557,0.000905557,0.000905557
39,419.803,0.0097,1.28525,1.38136,0.58086,0.5947,0.56586,0.31053,0.01196,1.74203,1.81562,0.00089141,0.00089141,0.00089141
40,430.335,0.00982,1.28816,1.38121,0.55761,0.56428,0.54426,0.29602,0.01148,1.93133,1.75585,0.000877263,0.000877263,0.000877263
41,440.843,0.00976,1.26411,1.38538,0.55561,0.57788,0.53539,0.29926,0.0117,1.76778,1.75384,0.000863116,0.000863116,0.000863116
42,451.4,0.00956,1.23077,1.34813,0.61823,0.58571,0.58081,0.33283,0.01144,1.72485,1.74129,0.000848969,0.000848969,0.000848969
43,462.024,0.00938,1.19716,1.34337,0.64313,0.56333,0.59534,0.35314,0.01157,1.74085,1.75182,0.000834822,0.000834822,0.000834822
44,472.691,0.00929,1.16813,1.34432,0.6172,0.60349,0.59036,0.32628,0.0113,1.64079,1.76073,0.000820675,0.000820675,0.000820675
45,483.211,0.00961,1.24182,1.36483,0.61651,0.55186,0.55298,0.30496,0.01191,1.85098,1.78155,0.000806528,0.000806528,0.000806528
46,493.742,0.00955,1.23197,1.36356,0.65629,0.56355,0.57149,0.31753,0.01161,1.70628,1.74001,0.00079238,0.00079238,0.00079238
47,504.279,0.00937,1.15987,1.35051,0.62273,0.6075,0.59846,0.33169,0.01167,1.71409,1.76643,0.000778233,0.000778233,0.000778233
48,514.831,0.00918,1.14084,1.32348,0.66192,0.58567,0.57943,0.32685,0.01175,1.66837,1.77727,0.000764086,0.000764086,0.000764086
49,526.14,0.00936,1.16557,1.33825,0.63647,0.5876,0.57513,0.32607,0.01135,1.72442,1.7461,0.000749939,0.000749939,0.000749939
50,536.698,0.00918,1.13651,1.32197,0.59573,0.61834,0.58187,0.32922,0.01187,1.7117,1.82555,0.000735792,0.000735792,0.000735792
51,548.521,0.00924,1.12988,1.33273,0.61485,0.58898,0.58844,0.33941,0.01148,1.6825,1.7546,0.000721645,0.000721645,0.000721645
52,560.145,0.00903,1.1002,1.31611,0.67011,0.60977,0.62045,0.34548,0.01143,1.66168,1.74756,0.000707498,0.000707498,0.000707498
53,571.347,0.00907,1.1172,1.3237,0.61251,0.61074,0.60477,0.34087,0.01164,1.69943,1.7907,0.000693351,0.000693351,0.000693351
54,581.899,0.00898,1.09334,1.29894,0.64299,0.62296,0.61075,0.34718,0.01107,1.53609,1.71519,0.000679204,0.000679204,0.000679204
55,594.003,0.00876,1.0719,1.29267,0.65037,0.61396,0.61419,0.3563,0.01099,1.59268,1.72335,0.000665057,0.000665057,0.000665057
56,607.374,0.00887,1.06681,1.30162,0.67348,0.62615,0.62275,0.35029,0.01145,1.66751,1.77377,0.000650909,0.000650909,0.000650909
57,620.845,0.00881,1.05486,1.30524,0.66697,0.56311,0.60185,0.35297,0.01124,1.76074,1.72855,0.000636762,0.000636762,0.000636762
58,634.133,0.0087,1.03399,1.28536,0.66628,0.59476,0.60597,0.34864,0.01097,1.62188,1.71259,0.000622615,0.000622615,0.000622615
59,647.592,0.00872,1.03686,1.28191,0.63654,0.61118,0.62716,0.36427,0.01104,1.50982,1.76479,0.000608468,0.000608468,0.000608468
60,661.222,0.00873,1.03164,1.28526,0.68146,0.60779,0.63894,0.37793,0.0112,1.55182,1.74427,0.000594321,0.000594321,0.000594321
61,674.727,0.00852,1.00342,1.27342,0.66469,0.60788,0.63112,0.35681,0.01138,1.59031,1.73893,0.000580174,0.000580174,0.000580174
62,688.023,0.00848,0.99692,1.26145,0.64262,0.63765,0.61068,0.35978,0.01114,1.5808,1.76606,0.000566027,0.000566027,0.000566027
63,701.726,0.0084,0.9896,1.25913,0.6551,0.58559,0.5939,0.34747,0.0114,1.68036,1.76611,0.00055188,0.00055188,0.00055188
64,715.62,0.00865,1.01818,1.27464,0.67765,0.60341,0.62107,0.35826,0.01109,1.56235,1.72604,0.000537733,0.000537733,0.000537733
65,728.605,0.00827,0.96489,1.24211,0.64178,0.63968,0.63821,0.37179,0.0109,1.56812,1.74145,0.000523586,0.000523586,0.000523586
66,741.63,0.0081,0.93685,1.23946,0.6294,0.65216,0.62798,0.36805,0.01122,1.68292,1.79298,0.000509438,0.000509438,0.000509438
67,754.536,0.0082,0.95409,1.23998,0.64967,0.62137,0.62737,0.37589,0.01077,1.57687,1.72087,0.000495291,0.000495291,0.000495291
68,766.49,0.00811,0.93426,1.23349,0.63692,0.58564,0.60964,0.36761,0.01095,1.67812,1.72602,0.000481144,0.000481144,0.000481144
69,777.011,0.00814,0.91581,1.22135,0.64549,0.62327,0.62774,0.37027,0.01079,1.62458,1.70823,0.000466997,0.000466997,0.000466997
70,787.545,0.0082,0.94367,1.23538,0.64764,0.65865,0.64054,0.38254,0.01051,1.55276,1.72418,0.00045285,0.00045285,0.00045285
71,800.106,0.00805,0.92634,1.23008,0.64774,0.64103,0.63383,0.38035,0.01087,1.65665,1.71693,0.000438703,0.000438703,0.000438703
72,813.44,0.00808,0.91363,1.22878,0.72522,0.60305,0.63036,0.36914,0.01105,1.53494,1.74659,0.000424556,0.000424556,0.000424556
73,826.133,0.00806,0.90689,1.21751,0.66209,0.62204,0.61275,0.36188,0.01104,1.51523,1.78254,0.000410409,0.000410409,0.000410409
74,839.168,0.00806,0.91226,1.22013,0.64116,0.61971,0.62289,0.36415,0.01095,1.58608,1.73929,0.000396262,0.000396262,0.000396262
75,852.183,0.00788,0.88245,1.20102,0.63346,0.62483,0.62979,0.37196,0.01112,1.59658,1.74187,0.000382115,0.000382115,0.000382115
76,864.84,0.00798,0.90453,1.21352,0.68181,0.6159,0.63587,0.37684,0.01115,1.5495,1.74947,0.000367967,0.000367967,0.000367967
77,877.627,0.00783,0.86506,1.20606,0.68494,0.61049,0.62916,0.37799,0.0111,1.54779,1.7823,0.00035382,0.00035382,0.00035382
78,890.79,0.00779,0.85167,1.19618,0.69286,0.62353,0.63207,0.37675,0.01078,1.50744,1.73702,0.000339673,0.000339673,0.000339673
79,904.159,0.00771,0.85036,1.19085,0.67963,0.61543,0.62512,0.37505,0.01073,1.45335,1.72633,0.000325526,0.000325526,0.000325526
80,916.921,0.00769,0.85221,1.19076,0.66518,0.62635,0.63478,0.37529,0.01098,1.52503,1.75861,0.000311379,0.000311379,0.000311379
81,930.156,0.00768,0.8648,1.20103,0.64483,0.65001,0.64225,0.38945,0.01069,1.52034,1.74702,0.000297232,0.000297232,0.000297232
82,943.565,0.00769,0.85761,1.1913,0.66863,0.59699,0.62644,0.37347,0.01078,1.51136,1.7551,0.000283085,0.000283085,0.000283085
83,956.661,0.00759,0.82621,1.17637,0.66323,0.60554,0.62933,0.37774,0.01083,1.56668,1.74748,0.000268938,0.000268938,0.000268938
84,969.658,0.00753,0.82651,1.18231,0.64771,0.63354,0.6222,0.37481,0.01076,1.58815,1.74497,0.000254791,0.000254791,0.000254791
