epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.59363,1.86023,11.8262,1.95712,0.01415,0.00401,0.00723,0.00289,2.19737,12.7917,1.76845,3.75e-05,3.75e-05,3.75e-05
2,3.42258,1.74952,11.5532,1.80681,0.01316,0.00401,0.0068,0.00273,2.15961,12.6878,1.74503,8.74947e-05,8.74947e-05,8.74947e-05
3,5.25738,1.7951,12.1066,1.88676,0.01316,0.00401,0.0068,0.00273,2.2539,13.3833,1.91085,0.000137466,0.000137466,0.000137466
4,7.31453,1.83889,8.34397,1.84719,0.01316,0.00401,0.0068,0.00273,2.46475,14.1014,2.20463,0.000187397,0.000187397,0.000187397
5,9.40653,1.63934,6.34181,1.66857,0.01316,0.00401,0.0068,0.00273,2.51065,14.161,2.20639,0.000237268,0.000237268,0.000237268
6,11.487,1.68157,6.04721,1.71843,0.01316,0.00401,0.0068,0.00273,2.5162,13.5377,2.20011,0.000287061,0.000287061,0.000287061
7,13.5548,1.4654,5.02985,1.51092,0.00699,0.01942,0.00372,0.00126,2.40021,12.3221,2.12259,0.000336759,0.000336759,0.000336759
8,15.6207,1.44774,4.60393,1.43894,0.02191,0.0475,0.02295,0.00672,2.28931,11.2991,2.07159,0.000386342,0.000386342,0.000386342
9,17.8281,1.31868,4.06899,1.38724,0.0087,0.01714,0.00472,0.0013,2.35606,12.0778,2.2664,0.000435792,0.000435792,0.000435792
10,19.9065,1.27815,3.97796,1.32073,0.00084,0.00708,0.00043,7e-05,2.59703,12.3793,2.70429,0.000485093,0.000485093,0.000485093
11,21.9752,1.27538,4.11515,1.41364,0.04815,0.01816,0.02579,0.01223,2.52778,11.8588,2.55883,0.000534224,0.000534224,0.000534224
12,24.1915,1.30861,4.46517,1.45751,0.00482,0.02956,0.00446,0.00134,2.56909,13.0241,2.44536,0.00058317,0.00058317,0.00058317
13,26.2762,1.24871,4.09662,1.36066,0.02265,0.02521,0.01385,0.00331,2.52695,14.86,2.41157,0.000631911,0.000631911,0.000631911
14,28.339,1.23407,3.96732,1.31196,0.0151,0.09266,0.03668,0.01141,2.57586,17.1966,2.41108,0.000680429,0.000680429,0.000680429
15,30.5675,1.19093,3.84428,1.29957,0.08609,0.05756,0.05474,0.0147,2.47446,11.4153,2.19358,0.000728708,0.000728708,0.000728708
16,32.8002,1.20398,3.60737,1.30782,0.10284,0.04419,0.06009,0.01405,2.44602,11.7383,2.18235,0.000776729,0.000776729,0.000776729
17,34.8485,1.16879,3.67779,1.2841,0.08263,0.0467,0.05203,0.01953,2.41241,11.3399,2.2264,0.000824476,0.000824476,0.000824476
18,37.076,1.24141,3.83619,1.33988,0.08428,0.04262,0.04936,0.01248,2.49515,12.066,2.49101,0.00087193,0.00087193,0.00087193
19,39.1601,1.18667,3.71811,1.32531,0.05405,0.05559,0.03503,0.00909,2.44208,11.5075,2.31625,0.000919074,0.000919074,0.000919074
20,41.2181,1.1624,3.20032,1.27825,0.01044,0.02807,0.0088,0.00139,2.48123,11.7064,2.41723,0.000965891,0.000965891,0.000965891
21,43.3394,1.11979,3.10592,1.23681,0.00502,0.05173,0.00771,0.00142,2.40791,11.0382,2.37238,0.00101236,0.00101236,0.00101236
22,45.455,1.21438,3.61073,1.3345,0.1426,0.03392,0.02497,0.01209,2.29769,9.22769,2.18676,0.00105848,0.00105848,0.00105848
23,47.5616,1.18653,3.80177,1.31778,0.13017,0.01163,0.02868,0.00756,2.28993,10.1839,2.18461,0.00110421,0.00110421,0.00110421
24,49.6586,1.23632,3.95275,1.28586,0.08755,0.06345,0.04308,0.01307,2.25858,8.29651,2.12045,0.00114955,0.00114955,0.00114955
25,51.7629,1.22262,3.87212,1.30328,0.1431,0.06647,0.04298,0.0104,2.27434,8.23109,2.24959,0.00119448,0.00119448,0.00119448
26,53.876,1.25131,3.11368,1.35213,0.09073,0.07476,0.03105,0.00709,2.2666,8.32236,2.29396,0.0012029,0.0012029,0.0012029
27,55.9855,1.16436,3.49037,1.25252,0.08224,0.07846,0.03257,0.00745,2.33912,8.42461,2.3357,0.00119911,0.00119911,0.00119911
28,58.1386,1.16017,3.618,1.28565,0.24552,0.10574,0.08611,0.02151,2.26354,7.83811,2.20174,0.00119518,0.00119518,0.00119518
29,60.4414,1.07715,2.93579,1.2262,0.17204,0.09677,0.05791,0.01487,2.30715,8.11117,2.23911,0.00119111,0.00119111,0.00119111
30,62.6004,1.23667,3.5211,1.3119,0.0712,0.07353,0.03541,0.00826,2.38513,9.27237,2.40868,0.0011869,0.0011869,0.0011869
31,64.776,1.18294,3.16473,1.29943,0.14691,0.12713,0.05434,0.01286,2.35831,9.15763,2.32838,0.00118256,0.00118256,0.00118256
32,66.9236,1.10499,2.78752,1.22212,0.24048,0.10286,0.04534,0.01512,2.40035,8.40431,2.40114,0.00117808,0.00117808,0.00117808
33,69.0888,1.1461,2.80018,1.22297,0.25731,0.0905,0.05325,0.01895,2.39168,8.34119,2.41463,0.00117346,0.00117346,0.00117346
34,71.2145,1.1415,2.89129,1.2866,0.16153,0.07996,0.04312,0.00965,2.41539,7.3698,2.45979,0.00116872,0.00116872,0.00116872
35,73.3565,1.16535,3.13811,1.23916,0.1693,0.09333,0.04461,0.00995,2.35329,7.30749,2.38375,0.00116383,0.00116383,0.00116383
36,75.5046,1.09976,2.76975,1.18317,0.58078,0.07888,0.04913,0.01187,2.32351,8.08512,2.40204,0.00115882,0.00115882,0.00115882
37,77.6331,1.13269,2.99766,1.28259,0.31764,0.08021,0.04722,0.01162,2.39013,7.31308,2.38652,0.00115368,0.00115368,0.00115368
38,79.7668,1.22647,2.92086,1.36448,0.09947,0.09373,0.05342,0.0125,2.39466,7.24378,2.31507,0.00114841,0.00114841,0.00114841
39,81.917,1.13212,2.57788,1.26591,0.10366,0.07596,0.05516,0.01101,2.36464,8.07938,2.24083,0.00114301,0.00114301,0.00114301
40,84.0937,1.17446,2.4806,1.24581,0.37089,0.04915,0.04189,0.0079,2.48305,10.4287,2.43566,0.00113748,0.00113748,0.00113748
41,86.2519,1.14165,2.58468,1.21574,0.37966,0.07541,0.05227,0.01073,2.39028,9.32199,2.29737,0.00113183,0.00113183,0.00113183
42,88.3785,1.03205,2.40358,1.11058,0.3594,0.0713,0.04665,0.01009,2.31869,8.92977,2.17578,0.00112605,0.00112605,0.00112605
43,90.4906,1.12796,2.31909,1.23456,0.10636,0.08938,0.04654,0.01257,2.33405,9.11451,2.13519,0.00112016,0.00112016,0.00112016
44,92.5938,1.07643,2.32709,1.17263,0.10373,0.08482,0.05363,0.01318,2.37858,9.74585,2.19692,0.00111414,0.00111414,0.00111414
45,94.7027,1.11685,2.35941,1.22963,0.11445,0.11737,0.06763,0.01459,2.29022,9.55869,2.16806,0.00110801,0.00110801,0.00110801
46,96.8129,1.05443,2.70607,1.15249,0.13002,0.09112,0.07022,0.01526,2.35981,9.74611,2.26837,0.00110175,0.00110175,0.00110175
47,98.9218,1.10083,2.57119,1.22827,0.03863,0.15644,0.05422,0.01272,2.34137,10.7156,2.25279,0.00109538,0.00109538,0.00109538
48,101.056,1.08163,2.48784,1.17454,0.0466,0.17426,0.04747,0.01393,2.35819,10.9047,2.30091,0.0010889,0.0010889,0.0010889
49,103.16,1.07058,2.4407,1.16667,0.05409,0.16499,0.05077,0.01307,2.37535,10.7274,2.31149,0.0010823,0.0010823,0.0010823
50,105.266,1.06335,2.45825,1.21038,0.30551,0.04645,0.02498,0.00741,2.39761,12.0631,2.39469,0.00107559,0.00107559,0.00107559
51,107.375,1.09295,2.57433,1.23279,0.59399,0.0268,0.0313,0.00943,2.47164,11.5373,2.47544,0.00106877,0.00106877,0.00106877
52,109.502,1.06022,2.47764,1.21952,0.59863,0.07813,0.05648,0.02088,2.33938,9.38291,2.30842,0.00106185,0.00106185,0.00106185
53,111.621,1.1011,2.55712,1.20338,0.58111,0.12104,0.05027,0.01128,2.35439,9.06106,2.24942,0.00105481,0.00105481,0.00105481
54,113.747,1.04565,2.46129,1.17948,0.06469,0.16325,0.05079,0.01399,2.38864,10.391,2.309,0.00104768,0.00104768,0.00104768
55,115.867,0.99627,2.3688,1.12571,0.08467,0.13757,0.04859,0.01602,2.35215,9.52536,2.24631,0.00104044,0.00104044,0.00104044
56,117.986,1.0624,2.53955,1.17465,0.13013,0.14207,0.0711,0.0222,2.30214,8.13926,2.23759,0.0010331,0.0010331,0.0010331
57,120.102,1.05414,2.60822,1.14795,0.16343,0.12631,0.08335,0.02413,2.3173,7.95245,2.29311,0.00102566,0.00102566,0.00102566
58,122.366,1.04437,2.36189,1.13728,0.13546,0.16679,0.07108,0.01948,2.31959,8.10693,2.25156,0.00101812,0.00101812,0.00101812
59,124.487,1.1026,2.23179,1.19755,0.15136,0.16413,0.07994,0.02119,2.24307,7.87698,2.15872,0.00101049,0.00101049,0.00101049
60,126.601,1.01905,2.36495,1.1832,0.13759,0.17146,0.09126,0.02418,2.22765,8.23414,2.08319,0.00100276,0.00100276,0.00100276
61,128.877,1.11504,2.31306,1.2034,0.18907,0.11369,0.09884,0.02692,2.23934,8.78188,2.13367,0.000994942,0.000994942,0.000994942
62,131.143,0.99563,2.35534,1.05308,0.18025,0.1258,0.11388,0.03208,2.18627,8.7074,2.11392,0.000987034,0.000987034,0.000987034
63,133.398,1.06233,2.20174,1.1654,0.44788,0.10511,0.11084,0.03481,2.18222,8.96376,2.09495,0.000979039,0.000979039,0.000979039
64,135.652,1.02118,2.33378,1.11269,0.193,0.15013,0.1113,0.03481,2.24107,8.68017,2.13383,0.000970958,0.000970958,0.000970958
65,137.889,0.98734,2.2456,1.11473,0.22768,0.09888,0.09376,0.02681,2.26396,8.24543,2.16697,0.000962793,0.000962793,0.000962793
66,140.021,0.95309,2.19137,1.02787,0.18266,0.11708,0.08648,0.02172,2.24968,7.75505,2.19151,0.000954546,0.000954546,0.000954546
67,142.135,1.05596,2.26891,1.12699,0.15824,0.1529,0.10845,0.02778,2.23787,7.34962,2.17273,0.000946219,0.000946219,0.000946219
68,144.245,0.96231,2.34832,1.12726,0.21233,0.13672,0.11524,0.03048,2.25947,7.50473,2.21813,0.000937815,0.000937815,0.000937815
69,146.363,1.03251,2.32944,1.15345,0.23182,0.11955,0.11101,0.03089,2.28593,7.74838,2.25897,0.000929335,0.000929335,0.000929335
70,148.474,0.95655,2.1774,1.08207,0.15101,0.13711,0.09626,0.02566,2.317,7.99197,2.32542,0.000920782,0.000920782,0.000920782
71,150.639,0.97674,2.23856,1.0746,0.13546,0.15305,0.08409,0.02177,2.37271,8.2866,2.42445,0.000912157,0.000912157,0.000912157
72,153.049,1.01144,2.19153,1.09696,0.1454,0.10505,0.0703,0.01701,2.44917,9.1503,2.52044,0.000903462,0.000903462,0.000903462
73,155.33,1.03614,2.08068,1.15457,0.18385,0.13902,0.08375,0.02013,2.45844,9.36598,2.52474,0.000894701,0.000894701,0.000894701
74,157.586,0.92319,1.94946,1.03961,0.25469,0.11771,0.08978,0.0242,2.45679,9.01017,2.547,0.000885875,0.000885875,0.000885875
75,159.842,0.92902,2.02184,1.05742,0.15234,0.1313,0.08468,0.02245,2.36896,9.66386,2.48657,0.000876985,0.000876985,0.000876985
76,162.109,0.97414,1.97109,1.09541,0.13053,0.12145,0.07489,0.02079,2.32257,9.72658,2.42625,0.000868035,0.000868035,0.000868035
77,164.37,0.9788,2.08176,1.1113,0.10642,0.12012,0.05809,0.0162,2.34938,9.97515,2.43774,0.000859027,0.000859027,0.000859027
78,166.639,1.07963,2.03614,1.14746,0.13381,0.12075,0.07959,0.02173,2.36201,8.8898,2.42374,0.000849963,0.000849963,0.000849963
79,168.926,0.94202,1.8636,1.08414,0.38126,0.104,0.06504,0.01774,2.41496,9.06708,2.46633,0.000840844,0.000840844,0.000840844
80,171.383,0.95304,1.84208,1.06567,0.39534,0.0897,0.06593,0.0201,2.35729,9.24634,2.31648,0.000831674,0.000831674,0.000831674
81,173.606,1.04476,2.14554,1.13259,0.18329,0.13769,0.06074,0.01851,2.31174,9.05887,2.17581,0.000822454,0.000822454,0.000822454
