epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.73885,2.29908,547.557,2.30285,0.51986,0.00581,0.00171,0.00024,2.77763,19.5432,2.44549,3.75e-05,3.75e-05,3.75e-05
2,3.82116,2.22796,564.927,2.30327,0.00087,0.00904,0.00042,9e-05,2.8068,17.9549,2.45674,8.74987e-05,8.74987e-05,8.74987e-05
3,5.8324,2.27111,552.547,2.32472,0.00129,0.01172,0.00064,0.00016,2.80315,15.1331,2.45835,0.000137492,0.000137492,0.000137492
4,7.99466,2.37405,546.832,2.29758,0.2696,0.00578,0.00083,0.0003,2.81751,24.6983,2.49911,0.000187474,0.000187474,0.000187474
5,10.7986,2.21987,74.3747,2.29552,0.00059,0.07557,0.00036,8e-05,2.82512,25.3726,2.55326,0.000237442,0.000237442,0.000237442
6,12.9948,2.20987,14.0589,2.29059,0.50372,0.02907,0.00173,0.00065,2.61564,10.7044,2.4691,0.00028739,0.00028739,0.00028739
7,15.1889,1.88421,6.8141,2.0845,0.7845,0.04651,0.00945,0.00347,2.60503,9.2157,2.48247,0.000337315,0.000337315,0.000337315
8,17.4148,1.95099,6.48921,2.00955,0.64361,0.02907,0.03587,0.01336,2.43071,8.5713,2.16103,0.00038721,0.00038721,0.00038721
9,19.6547,1.62735,4.72015,1.8046,0.80933,0.01744,0.01744,0.00354,2.48635,16.2337,2.14822,0.000437073,0.000437073,0.000437073
10,21.7855,1.46283,3.61531,1.60823,0.78503,0.02326,0.02554,0.00731,2.53226,18.707,2.25113,0.000486897,0.000486897,0.000486897
11,23.8794,1.48806,3.57129,1.60444,0.51943,0.04919,0.01346,0.00381,2.47572,16.8326,2.15209,0.00053668,0.00053668,0.00053668
12,26.0341,1.42451,3.69696,1.56977,0.5596,0.05941,0.0353,0.01153,2.37445,20.5425,1.9839,0.000586415,0.000586415,0.000586415
13,28.1524,1.36612,3.1215,1.47944,0.02686,0.12576,0.02364,0.00595,2.31886,16.6237,1.98105,0.0006361,0.0006361,0.0006361
14,30.2507,1.37185,3.21268,1.46855,0.8367,0.04651,0.04026,0.01278,2.25922,13.2362,1.915,0.000685728,0.000685728,0.000685728
15,32.3849,1.19149,2.74468,1.35739,0.31286,0.07325,0.03151,0.00989,2.2453,12.6275,1.9061,0.000735295,0.000735295,0.000735295
16,34.5317,1.2149,2.83159,1.37855,0.56679,0.06389,0.03112,0.00888,2.25247,14.5118,1.91175,0.000784798,0.000784798,0.000784798
17,36.618,1.29646,2.56563,1.33873,0.55073,0.04651,0.03246,0.01058,2.25107,11.0335,1.94542,0.000834231,0.000834231,0.000834231
18,38.7354,1.25114,2.44135,1.35562,0.05943,0.16064,0.03876,0.01156,2.22734,14.2414,1.88912,0.00088359,0.00088359,0.00088359
